force_stable : True
cuda_device : 0
aux_device : 1
base_epoch : 0
eos_m_token : EOS_M
base_iter : 0
beam_len_bonus : 0.5
max_turn : 10
trunc_turn : 999
mode : unknown
m : SEDST
prev_z_method : none
last_turn_only : False
u_max_ts : 100
freq_thres : 0
weight_decay : 0.0
cancel_reg : False
q_hidden_size : 50
vocab_size : 832
embedding_size : 50
hidden_size : 50
split : (3, 1, 1)
lr : 0.003
lr_decay : 0.5
vocab_path : ./vocab/vocab09_slot_space.pkl
data : ./data/CamRest676/CamRest676.json
entity : ./data/CamRest676/CamRestOTGY.json
db : ./data/CamRest676/CamRestDB.json
glove_path : ./data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 5
z_length : 8
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
cuda : False
spv_proportion : 0
alpha : 0.1
max_ts : 40
early_stop_count : 3
new_vocab : True
model_path : models/camrest-25-seed0.pkl
result_path : results/camrest-25-seed0.csv
teacher_force : 100
beam_search : False
beam_size : 5
sampling : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_latent,latent,generated_response,response,u_len,m_len,supervised
632,0,i 'm looking for a restaurant in the moderate price range in the east part of town,moderate east,moderate east EOS_Z1,name_SLOT is a food_SLOT restaurant in the east part of town .,"how about name_SLOT , they are in the moderate price range in the east part of town",18,18,False
578,0,i am looking for a thai restaurant - any area will do .,thai,thai EOS_Z1,name_SLOT is a thai restaurant in the area_SLOT part of town . would you like their location ?,name_SLOT is an pricerange_SLOT thai restaurant in the area_SLOT of town .,14,13,False
654,0,i am looking for a moderately priced restaurant in the south part of town . any kind of food is good with me ; i would just like to know the phone number of the venue you find .,moderate south,moderate south EOS_Z1,name_SLOT is located at address_SLOT . their phone number is phone_SLOT .,name_SLOT 's phone number is phone_SLOT .,40,8,False
649,0,i am looking for the address and price range of a restaurant serving chinese food in the south part of town .,chinese south,chinese south EOS_Z1,name_SLOT is a chinese restaurant in the south part of town .,name_SLOT is a chinese restaurant located in the south part of town in the pricerange_SLOT price range . their address is address_SLOT .,23,24,False
628,0,"hello , i am looking for a moderately priced restaurant that serves gastropub food .",gastropub,gastropub moderate EOS_Z1,"i 'm sorry , there are no restaurants that serve gastropub food .",name_SLOT serves gastropub food and is in the moderate price range .,16,13,False
591,0,"hello , i am looking for an expensive restaurant that serves irish food .",irish expensive,irish expensive EOS_Z1,there are no restaurants serving irish food . would you like to try something else ?,"i 'm sorry , there is not restaurants matching your request . would you like to try something else ?",15,21,False
549,0,i would like a restaurant in the north part of town that serves french food,french north,french north EOS_Z1,there are no french restaurants in the north part of town . would you like to try something else ?,there is name_SLOT in the the north side of town that serves french food .,16,16,False
566,0,"i want to visit an expensive restaurant in the south part of town . i need the address , phone number , and type of food .",expensive south,expensive south EOS_Z1,name_SLOT is a expensive restaurant in the south part of town .,"there are five expensive restaurants available in the south part of the city . food_SLOT , food_SLOT , food_SLOT , and two food_SLOT restaurants are available . what type of food would you like ?",28,36,False
648,0,"i would like a restaurant that serves world food . it should be a really good restaurant , and it 's ok if it 's expensive .",expensive expensive,world EOS_Z1,name_SLOT is a expensive restaurant in the expensive price range .,there are no matching restaurants,28,6,False
636,0,i 'm looking for a place that has chinese food .,chinese,chinese EOS_Z1,name_SLOT is a chinese restaurant in the area_SLOT part of town . would you like more information ?,"there are 17 chinese restaurants , do you prefer any price range or any area in town ?",12,19,False
665,0,i am looking for a cheap restaurant in the east part of town .,cheap east,cheap east EOS_Z1,there are two restaurants in the east part of town . would you like to try something else ?,name_SLOT is a cheap food_SLOT restaurant in the east side . would you like the address or phone number ?,15,21,False
